,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
55,19.0,1.9,0.48,0.11,-0.4,15.0,14.0,67.0,52.1,96.0,1.8
56,20.0,1.9,0.41,0.1,0.2,14.0,15.0,44.0,37.8,96.0,1.6
57,20.0,1.9,0.42,0.1,1.6,16.0,17.0,35.0,19.6,96.0,1.5
58,20.0,1.9,0.39,0.1,1.5,16.0,17.0,30.0,11.8,96.0,1.7
59,20.0,1.9,0.36,0.1,1.5,16.0,17.0,30.0,11.8,97.0,1.4
60,20.0,1.8,0.32,0.07,0.9,15.0,16.0,22.0,13.1,97.0,1.3
61,20.0,1.9,0.33,0.07,1.6,13.0,14.0,10.0,13.1,97.0,1.6
62,21.0,1.9,0.38,0.1,1.5,14.0,15.0,14.0,10.5,97.0,1.5
63,21.0,1.9,0.42,0.12,2.6,16.0,18.0,15.0,14.4,97.0,1.5
64,21.0,1.8,0.4,0.12,1.2,18.0,19.0,15.0,13.1,97.0,1.2
65,21.0,1.9,0.46,0.18,4.4,26.0,30.0,5.0,15.7,97.0,1.4
66,21.0,1.9,0.42,0.13,2.3,23.0,25.0,10.0,10.5,97.0,1.4
67,21.0,1.9,0.39,0.12,-0.5,17.0,16.0,17.0,10.5,97.0,1.4
68,21.0,1.9,0.39,0.11,3.02,19.69,22.63,27.0,10.5,97.0,1.3
69,21.0,1.9,0.43,0.11,-0.4,19.0,18.0,23.0,19.6,97.0,1.3
70,21.0,1.9,0.46,0.12,-0.2,21.0,21.0,26.0,14.4,97.0,1.3
71,20.0,2.0,0.49,0.14,0.8,23.0,24.0,23.0,18.3,97.0,1.3
72,21.0,2.0,0.53,0.16,4.7,24.0,29.0,34.0,15.7,97.0,1.1
73,21.0,2.1,0.56,0.17,6.1,24.0,30.0,34.0,23.5,98.0,1.4
74,20.0,2.1,0.53,0.16,7.2,24.0,31.0,37.0,24.8,98.0,1.1
75,20.0,2.0,0.44,0.12,2.59,18.1,20.6,39.0,24.8,98.0,1.0
76,20.0,2.0,0.43,0.12,-0.5,17.0,17.0,46.0,28.7,98.0,1.0
77,20.0,2.0,0.44,0.12,0.8,19.0,19.0,45.0,22.2,98.0,1.2
78,20.0,2.0,0.45,0.13,3.7,19.0,22.0,39.0,27.4,98.0,1.4
79,21.0,2.0,0.73,0.24,14.0,18.0,32.0,33.0,28.7,98.0,1.6
80,21.0,2.0,0.63,0.22,17.0,18.0,35.0,50.0,33.9,98.0,1.6
81,21.0,2.0,0.58,0.25,15.0,17.0,33.0,53.0,39.1,98.0,1.5
82,21.0,1.9,0.5,0.22,10.0,15.0,25.0,54.0,45.6,98.0,1.4
83,22.0,1.9,0.5,0.2,8.9,14.0,22.0,52.0,59.9,96.0,1.4
84,23.0,1.9,0.47,0.17,6.7,15.0,22.0,64.0,65.1,88.0,1.6
85,26.0,1.8,0.42,0.15,4.3,15.0,19.0,69.0,65.1,83.0,1.7
86,26.0,1.8,0.39,0.19,3.82,13.4,17.1,65.78,57.729,83.0,2.37
87,26.0,1.8,0.39,0.17,1.2,14.0,15.0,68.0,62.5,83.0,2.2
88,26.0,1.8,0.39,0.17,0.8,16.0,17.0,64.0,59.9,83.0,2.1
89,24.0,1.8,0.59,0.27,2.54,22.33,24.78,80.0,62.5,90.0,3.0
90,23.0,1.8,0.56,0.21,2.09,22.44,24.56,80.0,69.0,92.0,3.0
91,22.0,1.9,0.62,0.27,2.19,22.67,24.78,84.0,72.9,93.0,2.8
92,22.0,2.0,0.69,0.37,0.0,28.0,28.0,82.0,72.9,93.0,2.4
93,22.0,2.1,0.64,0.38,-0.4,22.0,21.0,89.0,70.3,95.0,2.3
94,22.0,2.2,0.7,0.32,2.6,26.0,29.0,92.0,72.9,95.0,2.4
95,22.0,2.3,0.65,0.42,6.9,28.0,34.0,87.0,67.7,96.0,3.0
96,21.0,2.3,0.7,0.46,12.0,26.0,38.0,84.0,66.4,96.0,3.1
97,21.0,2.4,0.68,0.38,16.0,25.0,41.0,83.0,57.3,96.0,2.8
98,21.0,2.5,0.65,0.34,23.0,25.0,48.0,90.0,57.3,97.0,3.1
99,21.0,2.5,0.67,0.36,29.0,22.0,51.0,89.0,52.1,97.0,2.2
100,21.0,2.6,0.66,0.35,26.0,21.0,47.0,88.0,48.2,98.0,1.7
101,21.0,2.7,0.69,0.34,24.0,20.0,45.0,70.0,46.9,98.0,1.6
102,21.0,2.6,0.85,0.51,44.0,20.0,63.0,60.0,46.9,98.0,2.1
103,21.0,2.7,1.85,0.96,91.0,21.0,113.0,60.0,70.3,98.0,3.9
104,22.0,2.7,2.37,1.24,73.0,39.0,112.0,78.0,72.9,98.0,5.7
105,24.0,2.1,2.06,1.19,22.0,58.0,79.0,97.0,89.8,86.0,6.6
106,27.0,2.0,1.11,0.51,4.1,36.0,40.0,93.0,74.2,76.0,3.9
107,27.0,1.9,0.59,0.3,1.2,22.0,23.0,84.0,71.6,77.0,3.4
108,23.9,1.84,0.45,0.13,4.18,15.67,20.0,69.0,66.4,81.1,3.79
109,27.0,1.7,0.33,0.08,2.79,14.51,17.33,63.0,66.4,71.0,4.5
110,26.0,1.7,0.3,0.08,2.87,15.22,18.11,55.0,50.8,70.0,3.8
111,26.0,1.7,0.27,0.11,2.28,14.33,16.78,51.0,46.9,71.0,3.4
112,25.0,1.8,0.37,0.15,2.03,17.22,19.44,64.0,54.7,79.0,4.3
113,24.0,1.9,0.57,0.29,2.19,24.2,26.6,81.0,76.8,82.0,4.4
114,24.0,1.9,0.64,0.34,2.64,24.05,26.5,101.0,89.8,85.0,3.0
115,23.0,1.9,0.54,0.26,2.74,21.2,24.03,105.0,89.8,87.0,2.5
116,22.0,2.0,0.48,0.22,3.67,22.3,25.9,112.0,100.2,87.0,2.2
117,22.0,2.0,0.5,0.18,4.43,24.1,28.5,125.0,98.9,88.0,2.6
118,22.0,2.0,0.58,0.2,1.5,28.0,30.0,134.0,104.1,89.0,4.5
119,22.0,2.1,0.57,0.25,5.2,28.0,33.0,137.0,105.4,89.0,5.0
120,22.0,2.1,0.59,0.28,9.2,26.0,36.0,139.0,102.8,90.0,4.6
121,22.0,2.2,0.6,0.36,12.0,25.0,37.0,142.0,98.9,90.0,4.2
122,21.0,2.3,0.61,0.41,15.0,23.0,38.0,141.0,89.8,91.0,3.2
123,22.0,2.4,0.63,0.43,23.0,21.0,44.0,134.0,84.6,91.0,3.1
124,21.0,2.5,0.6,0.42,26.0,18.0,44.0,118.0,80.7,91.0,2.4
125,21.0,2.6,0.6,0.43,25.0,17.0,42.0,112.0,71.6,91.0,2.2
126,21.0,2.7,0.61,0.32,15.0,18.0,33.0,110.0,67.7,92.0,2.5
127,21.0,2.3,0.71,0.31,13.0,20.0,33.0,109.0,56.0,92.0,2.4
128,20.0,1.9,0.45,0.17,4.5,17.0,22.0,89.0,52.1,90.0,1.8
129,20.0,1.8,0.37,0.12,0.5,14.0,14.0,50.0,44.3,88.0,1.3
130,21.0,1.8,0.38,0.14,2.5,16.0,19.0,34.0,36.5,86.0,1.8
131,23.0,1.78,0.34,0.11,3.8,11.0,15.0,20.0,19.6,81.0,1.9
132,25.0,1.76,0.26,0.11,1.1,6.0,7.1,21.0,17.0,72.0,1.3
133,26.0,1.78,0.22,0.09,-0.3,5.1,4.8,12.0,7.9,66.0,1.1
134,26.0,1.78,0.25,0.09,0.0,7.7,7.7,15.0,15.7,69.0,1.3
135,25.0,1.8,0.27,0.1,2.3,12.6,14.92,25.0,19.6,75.0,2.5
136,23.0,1.8,0.29,0.1,0.6,9.2,9.7,43.0,28.7,80.0,1.5
137,22.0,1.8,0.35,0.12,0.2,13.0,13.0,54.0,31.3,83.0,1.3
138,20.0,1.8,0.35,0.07,0.0,12.0,12.0,60.0,31.3,84.0,0.8
139,20.0,1.8,0.35,0.09,-0.1,12.0,12.0,53.0,39.1,84.0,1.1
140,19.0,1.8,0.4,0.09,-0.2,12.0,12.0,45.0,41.7,84.0,2.0
141,19.0,1.8,0.44,0.09,-0.2,21.0,20.0,48.0,46.9,83.0,4.5
142,19.0,1.8,0.36,0.08,-0.1,12.0,12.0,45.0,44.3,81.0,2.3
143,19.0,1.8,0.31,0.06,-0.2,8.5,8.2,47.0,33.9,80.0,0.9
144,19.0,1.8,0.31,0.05,-0.2,7.7,7.5,39.0,22.2,80.0,1.2
145,19.0,1.8,0.31,0.05,-0.1,8.2,8.0,35.0,15.7,80.0,1.3
146,19.0,1.8,0.3,0.09,-0.1,7.8,7.7,31.0,19.6,81.0,1.3
147,19.0,1.8,0.3,0.11,-0.1,8.8,8.6,32.0,23.5,81.0,1.4
148,19.0,1.8,0.31,0.11,-0.2,8.8,8.6,36.0,27.4,81.0,1.4
149,18.0,1.8,0.3,0.13,0.0,7.8,7.8,42.0,28.7,82.0,1.4
150,18.0,1.9,0.36,0.12,0.1,13.0,14.0,46.0,30.0,82.0,1.9
151,18.0,1.9,0.48,0.13,2.3,17.0,19.0,51.0,28.7,82.0,2.5
152,19.0,1.9,0.47,0.15,6.7,17.0,23.0,56.0,37.8,80.0,5.2
153,20.0,1.9,0.43,0.17,6.2,13.0,19.0,54.0,39.1,78.0,2.4
154,22.0,1.9,0.39,0.15,5.5,13.0,18.0,57.0,44.3,74.0,2.2
155,23.0,1.8,0.36,0.13,2.2,7.6,9.8,58.0,40.4,71.0,1.9
156,23.0,1.8,0.34,0.1,0.7,5.9,6.6,64.0,45.6,68.0,2.0
157,24.0,1.86,0.4,0.09,0.8,7.6,8.4,64.0,39.1,67.0,3.1
158,22.0,1.86,0.39,0.09,0.3,6.5,6.8,75.0,45.6,72.0,2.6
159,21.0,1.7,0.4,0.12,1.47,9.89,11.46,82.0,46.9,74.0,2.6
160,20.0,1.8,0.41,0.15,0.1,6.1,6.2,92.0,59.9,75.0,1.7
161,19.0,1.8,0.45,0.11,-0.1,6.3,6.2,87.0,58.6,77.0,1.5
162,19.0,1.9,0.5,0.1,0.0,11.0,11.0,86.0,53.4,78.0,1.8
163,19.0,1.9,0.49,0.13,0.0,13.0,12.0,81.0,54.7,78.0,2.7
164,19.0,1.9,0.44,0.07,-0.1,8.6,8.5,80.0,57.3,78.0,2.9
165,19.0,1.9,0.42,0.08,0.0,8.5,8.5,69.0,54.7,79.0,3.3
166,18.0,1.9,0.47,0.13,-0.2,12.0,12.0,66.0,48.2,81.0,3.5
167,18.0,1.9,0.48,0.13,-0.2,13.0,13.0,67.0,48.2,81.0,2.6
168,18.0,1.9,0.47,0.15,0.0,15.0,15.0,66.0,53.4,84.0,2.2
169,18.0,2.0,0.44,0.14,-0.1,12.0,12.0,65.0,48.2,85.0,2.1
170,18.0,1.8,0.35,0.1,0.0,8.2,8.2,46.0,39.1,85.0,1.7
171,18.0,1.8,0.34,0.1,0.0,11.0,11.0,43.0,37.8,86.0,2.3
172,18.0,1.9,0.32,0.1,0.1,10.0,10.0,29.0,31.3,89.0,1.5
173,18.0,1.9,0.39,0.15,0.3,14.0,15.0,36.0,36.5,90.0,1.7
174,18.0,2.0,0.47,0.17,1.0,20.0,21.0,34.0,39.1,90.0,1.9
175,18.0,2.0,0.67,0.26,8.2,23.0,31.0,47.0,54.7,89.0,2.4
176,18.0,1.9,0.54,0.2,7.7,18.0,25.0,50.0,61.2,86.0,2.3
177,20.0,1.8,0.37,0.17,3.2,9.6,13.0,50.0,58.6,79.0,2.3
178,21.0,1.8,0.33,0.09,2.1,8.4,10.0,42.0,43.0,75.0,2.2
179,21.0,1.8,0.35,0.08,2.0,8.7,11.0,48.0,27.4,71.0,2.6
180,22.0,1.8,0.44,0.08,2.6,13.0,15.0,54.0,19.6,68.0,4.5
181,22.0,1.8,0.36,0.08,1.9,9.7,12.0,60.0,36.5,65.0,2.7
182,23.0,1.8,0.36,0.08,1.0,9.1,10.0,56.0,37.8,64.0,2.6
183,23.0,1.8,0.41,0.11,0.9,12.0,13.0,56.0,50.8,65.0,3.0
184,21.0,1.8,0.45,0.11,0.6,11.0,12.0,64.0,48.2,72.0,3.4
185,19.0,1.8,0.45,0.1,0.1,9.9,9.9,80.0,57.3,75.0,2.4
186,18.0,1.8,0.42,0.1,0.0,8.8,8.8,85.0,58.6,75.0,2.3
187,18.0,1.8,0.43,0.11,0.0,11.0,11.0,82.0,61.2,74.0,3.7
188,18.0,1.8,0.52,0.13,0.1,16.0,16.0,79.0,53.4,75.0,3.9
189,17.0,1.8,0.52,0.13,0.0,14.0,14.0,78.0,52.1,77.0,3.4
190,17.0,1.8,0.48,0.13,-0.1,12.0,12.0,70.0,44.3,77.0,2.7
191,17.0,1.8,0.51,0.1,0.0,10.0,10.0,58.0,54.7,79.0,3.1
192,17.0,1.8,0.52,0.1,0.0,11.0,11.0,55.0,53.4,80.0,4.3
193,17.0,1.8,0.49,0.1,-0.1,13.0,13.0,63.0,57.3,79.0,5.0
194,16.0,1.8,0.5,0.08,0.0,15.0,15.0,58.0,43.0,79.0,4.5
195,16.0,1.8,0.39,0.08,0.7,7.3,8.0,52.0,33.9,79.0,2.3
196,16.0,1.8,0.42,0.09,0.7,11.0,12.0,42.0,30.0,81.0,2.0
197,15.0,1.8,0.47,0.1,0.8,11.0,12.0,38.0,33.9,83.0,1.8
198,15.0,1.9,0.55,0.13,1.2,18.0,20.0,44.0,32.6,84.0,2.0
199,15.0,1.9,0.63,0.19,7.0,20.0,27.0,52.0,37.8,84.0,2.5
200,17.0,1.9,0.65,0.31,12.0,20.0,32.0,64.0,41.7,80.0,3.0
201,18.0,1.9,0.54,0.18,7.2,14.0,21.0,59.0,52.1,76.0,2.8
202,20.0,1.8,0.48,0.13,3.3,9.0,12.0,55.0,46.9,71.0,2.4
203,21.0,1.8,0.48,0.11,2.1,8.1,10.0,50.0,56.0,68.0,2.9
204,22.0,1.8,0.46,0.08,1.9,8.2,10.0,52.0,48.2,65.0,3.5
205,23.0,1.8,0.43,0.07,1.4,7.4,8.8,50.0,50.8,62.0,3.5
206,23.0,1.8,0.45,0.09,1.0,7.9,8.9,54.0,41.7,66.0,3.7
207,22.0,1.8,0.5,0.1,1.2,11.0,12.0,62.0,39.1,68.0,4.3
208,21.0,1.8,0.52,0.1,1.2,13.0,14.0,75.0,50.8,70.0,4.3
209,20.0,1.8,0.54,0.11,0.8,12.0,13.0,91.0,53.4,74.0,3.0
210,19.0,1.8,0.52,0.11,0.7,13.0,14.0,90.0,62.5,77.0,2.4
211,18.0,1.8,0.5,0.1,0.7,12.0,12.0,85.0,50.8,80.0,2.6
212,18.0,1.8,0.52,0.1,0.8,16.0,17.0,77.0,59.9,82.0,2.8
213,18.0,1.9,0.56,0.11,0.7,19.0,19.0,79.0,54.7,83.0,3.1
214,17.0,1.9,0.6,0.13,0.8,23.0,24.0,85.0,62.5,84.0,3.3
215,17.0,1.9,0.65,0.15,1.0,25.0,26.0,85.0,59.9,85.0,3.0
216,17.0,2.0,0.66,0.16,1.7,28.0,30.0,86.0,65.1,86.0,3.2
217,16.0,2.0,0.54,0.17,1.2,19.0,20.0,79.0,61.2,87.0,2.2
218,17.0,2.0,0.52,0.12,0.8,12.0,12.0,85.0,67.7,86.0,2.8
219,16.0,2.0,0.53,0.14,0.6,16.0,17.0,83.0,62.5,87.0,2.9
220,16.0,2.1,0.54,0.16,1.0,21.0,22.0,87.0,70.3,87.0,2.6
221,16.0,2.0,0.65,0.2,4.7,27.0,32.0,76.0,66.4,87.0,3.4
222,16.0,2.0,0.69,0.24,4.3,26.0,30.0,75.0,66.4,87.0,3.1
223,16.0,2.1,0.81,0.3,11.0,24.0,35.0,81.0,70.3,87.0,3.5
224,17.0,2.0,0.83,0.31,16.0,24.0,40.0,87.0,82.0,84.0,4.5
225,19.0,2.0,0.73,0.26,9.7,22.0,32.0,92.0,91.1,78.0,3.8
226,21.0,1.9,0.64,0.19,5.5,18.0,24.0,93.0,84.6,71.0,4.0
227,22.0,1.8,0.6,0.13,3.4,15.0,18.0,86.0,75.5,68.0,4.6
228,23.0,1.8,0.5,0.08,1.9,10.0,12.0,79.0,72.9,64.0,3.2
229,23.0,1.8,0.47,0.07,1.3,9.2,10.0,74.0,70.3,71.0,3.2
230,22.0,1.8,0.45,0.07,0.9,9.3,10.0,85.0,74.2,76.0,3.7
231,21.0,1.7,0.41,0.07,0.7,9.6,10.0,99.0,75.5,78.0,3.6
232,21.0,1.8,0.39,0.08,0.6,11.0,11.0,96.0,80.7,80.0,3.5
233,20.0,1.7,0.38,0.08,0.3,12.0,12.0,86.0,62.5,82.0,3.4
234,20.0,1.7,0.43,0.09,0.4,14.0,14.0,73.0,61.2,82.0,2.6
235,20.0,1.8,0.38,0.07,0.3,15.0,15.0,75.0,58.6,84.0,2.3
236,19.0,1.8,0.44,0.1,0.4,16.0,17.0,86.0,66.4,86.0,2.5
237,19.0,1.8,0.44,0.09,0.5,15.0,15.0,90.0,62.5,87.0,1.9
238,19.0,1.8,0.37,0.06,0.3,9.2,9.5,85.0,56.0,87.0,1.7
239,19.0,1.8,0.37,0.06,0.2,9.8,10.0,80.0,54.7,87.0,1.3
240,19.0,1.8,0.4,0.06,0.3,11.0,12.0,85.0,45.6,87.0,1.2
241,19.0,1.8,0.38,0.06,0.2,9.6,9.8,89.0,57.3,88.0,1.7
242,19.0,1.8,0.35,0.06,0.3,8.8,9.2,90.0,53.4,87.0,1.6
243,19.0,1.8,0.35,0.06,0.5,10.0,11.0,94.0,67.7,88.0,1.7
244,19.0,1.8,0.33,0.06,0.3,11.0,11.0,99.0,54.7,88.0,1.9
245,19.0,1.8,0.33,0.07,0.4,9.3,9.7,92.0,54.7,88.0,1.9
246,19.0,1.8,0.39,0.08,0.9,15.0,16.0,85.0,40.4,88.0,2.6
247,19.0,1.8,0.5,0.13,2.5,17.0,20.0,73.0,50.8,88.0,2.3
248,20.0,1.9,0.59,0.18,6.4,20.0,26.0,69.0,48.2,88.0,2.2
249,20.0,1.8,0.5,0.18,7.2,20.0,27.0,57.0,58.6,89.0,2.7
250,20.0,1.9,0.56,0.21,13.0,24.0,37.0,57.0,52.1,90.0,2.9
251,20.0,1.8,0.53,0.29,16.0,23.0,39.0,57.0,56.0,90.0,2.9
252,20.0,1.8,0.48,0.26,14.0,18.0,32.0,54.0,54.7,87.0,2.5
253,21.0,1.8,0.43,0.18,6.2,16.0,22.0,45.0,44.3,86.0,2.1
254,20.0,1.8,0.37,0.14,3.4,11.0,15.0,35.0,32.6,85.0,1.8
255,20.0,1.7,0.38,0.11,2.1,15.0,17.0,31.0,26.1,85.0,1.6
256,19.0,1.7,0.36,0.11,1.2,13.0,14.0,30.0,26.1,85.0,1.7
257,18.0,1.7,0.31,0.08,0.6,9.3,9.9,26.0,23.5,88.0,1.5
258,17.0,1.7,0.27,0.07,0.3,7.8,8.1,18.0,14.4,88.0,1.5
259,17.0,1.7,0.28,0.12,0.5,11.0,11.0,7.0,7.9,88.0,1.8
260,17.0,1.7,0.3,0.15,0.5,11.0,12.0,8.0,7.9,89.0,1.7
261,17.0,1.7,0.27,0.12,0.2,9.2,9.4,11.0,9.2,89.0,1.7
262,17.0,1.7,0.29,0.12,0.4,13.0,13.0,25.0,13.1,88.0,1.8
263,17.0,1.8,0.28,0.1,0.3,13.0,13.0,26.0,9.2,86.0,2.0
264,17.0,1.8,0.29,0.12,0.5,13.0,13.0,24.0,5.3,86.0,2.9
265,17.0,1.8,0.3,0.08,0.3,10.0,11.0,20.0,2.7,86.0,3.0
266,17.0,1.8,0.31,0.1,0.4,11.0,11.0,21.0,11.8,87.0,3.0
267,17.0,1.7,0.27,0.11,0.2,6.7,6.9,28.0,11.8,86.0,2.5
268,17.0,1.8,0.25,0.07,0.2,8.1,8.3,23.0,15.7,85.0,2.1
269,17.0,1.8,0.31,0.08,0.1,9.6,9.8,21.0,14.4,85.0,2.6
270,17.0,1.8,0.32,0.08,0.3,10.0,11.0,26.0,24.8,85.0,2.3
271,17.0,1.8,0.45,0.11,1.3,13.0,15.0,32.0,18.3,84.0,2.3
272,18.0,1.8,0.44,0.1,3.2,13.0,16.0,26.0,27.4,81.0,2.7
273,19.0,1.8,0.37,0.1,4.6,11.0,16.0,28.0,26.1,79.0,2.6
274,20.0,1.8,0.36,0.12,5.1,11.0,16.0,27.0,31.3,76.0,2.8
275,22.0,1.8,0.34,0.15,3.9,11.0,15.0,36.0,22.2,71.0,2.9
276,22.0,1.7,0.33,0.09,1.2,6.9,8.2,37.0,24.8,70.0,3.0
277,22.0,1.7,0.36,0.08,1.3,10.0,11.0,42.0,24.8,70.0,4.0
278,22.0,1.7,0.34,0.14,0.6,8.3,9.0,45.0,30.0,70.0,3.7
279,21.0,1.7,0.38,0.13,0.6,12.0,13.0,54.0,26.1,73.0,3.8
280,20.0,1.7,0.36,0.14,0.3,11.0,11.0,61.0,24.8,74.0,3.3
281,19.0,1.8,0.37,0.12,0.2,11.0,11.0,63.0,23.5,77.0,2.9
282,19.0,1.8,0.4,0.16,0.3,12.0,13.0,52.0,15.7,77.0,3.5
283,19.0,1.8,0.4,0.18,0.2,14.0,14.0,42.0,28.7,77.0,4.0
284,18.0,1.8,0.4,0.13,0.3,13.0,14.0,48.0,28.7,78.0,4.1
285,18.0,1.8,0.38,0.1,0.3,14.0,14.0,56.0,37.8,77.0,5.2
286,18.0,1.8,0.45,0.11,0.3,18.0,18.0,54.0,31.3,77.0,6.7
287,17.0,1.8,0.54,0.13,0.5,22.0,22.0,45.0,31.3,78.0,6.5
288,17.0,1.8,0.56,0.11,0.7,20.0,20.0,33.0,26.1,79.0,6.1
289,17.0,1.8,0.58,0.1,0.4,22.0,22.0,33.0,23.5,79.0,6.9
290,17.0,1.8,0.42,0.09,0.3,13.0,13.0,36.0,24.8,80.0,3.3
291,16.0,1.8,0.37,0.11,0.3,15.0,16.0,36.0,24.8,84.0,2.5
292,16.0,1.8,0.34,0.1,0.1,8.5,8.5,37.0,28.7,85.0,1.9
293,16.0,1.8,0.34,0.09,0.1,7.0,7.1,27.0,28.7,84.0,1.8
294,16.0,1.8,0.35,0.1,0.3,7.7,8.0,22.0,28.7,83.0,1.8
295,16.0,1.8,0.43,0.13,0.7,11.0,12.0,21.0,19.6,83.0,2.0
296,16.0,1.8,0.45,0.14,1.8,16.0,17.0,28.0,19.6,81.0,2.3
297,17.0,1.8,0.56,0.14,3.4,17.0,20.0,32.0,24.8,79.0,3.5
298,17.0,1.8,0.51,0.1,2.9,13.0,15.0,35.0,26.1,78.0,3.7
299,18.0,1.8,0.49,0.11,3.1,16.0,19.0,32.0,28.7,77.0,3.5
300,19.0,1.8,0.43,0.1,3.7,12.0,16.0,40.0,40.4,72.0,3.0
